author,year,journal,title,url,search_term,site
Stavros Skopeteas; Gisbert Fanselow,2011,Lingua,Focus and the exclusion of alternatives: On the interaction of syntactic structure with pragmatic inference,https://doi.org/10.1016/j.lingua.2011.05.005,acceptability judgement; acceptability judgment; grammaticality judgement; grammaticality judgment; linguistic intuition judgement; linguistic intuition judgment; sentence judgement; sentence judgment; syntactic judgement ; syntactic judgment,KB+JISC Collections Elsevier (1995-2023)
Natalia Slioussar,2011,Lingua,Russian and the EPP requirement in the Tense domain,https://doi.org/10.1016/j.lingua.2011.07.009,acceptability judgement; acceptability judgment; acceptability rating; grammaticality judgement; grammaticality judgment; grammaticality rating; linguistic intuition judgement; linguistic intuition judgment; linguistic intuition rating; sentence judgement; sentence judgment; syntactic judgement ; syntactic judgment,KB+JISC Collections Elsevier (1995-2023)
Shigeto Kawahara,2012,Lingua,Lyman's Law is active in loanwords and nonce words: Evidence from naturalness judgment studies,https://doi.org/10.1016/j.lingua.2012.05.008,grammaticality judgement; grammaticality judgment; grammaticality rating; linguistic intuition judgement; linguistic intuition judgment; linguistic intuition rating; naturalness judgement; naturalness judgment; naturalness rating,KB+JISC Collections Elsevier (1995-2023)
Joanna Nykiel,2013,Lingua,Clefts and preposition omission under sluicing,https://doi.org/10.1016/j.lingua.2012.10.011,acceptability judgement; acceptability judgment; acceptability rating; grammaticality judgement; grammaticality judgment; grammaticality rating; intuitive judgement; intuitive judgment; sentence judgement; sentence judgment; syntactic judgement ; syntactic judgment,KB+JISC Collections Elsevier (1995-2023)
Jon Sprouse; Carson T. Schütze; Diogo Almeida,2013,Lingua,A comparison of informal and formal acceptability judgments using a random sample from Linguistic Inquiry 2001–2010,https://doi.org/10.1016/j.lingua.2013.07.002,Likert scale; acceptability judgement; acceptability judgment; acceptability rating; grammaticality judgement; grammaticality judgment; grammaticality rating; intuitive judgement; intuitive judgment; magnitude estimation; naïve rating; sentence judgement; sentence judgment; syntactic judgement ; syntactic judgment,KB+JISC Collections Elsevier (1995-2023)
Elif Bamyacı; Jana Häussler; Barış Kabak,2014,Lingua,The interaction of animacy and number agreement: An experimental investigation,https://doi.org/10.1016/j.lingua.2014.06.005,acceptability judgement; acceptability judgment; acceptability rating; grammaticality judgement; grammaticality judgment; grammaticality rating; linguistic intuition judgement; linguistic intuition judgment; linguistic intuition rating; magnitude estimation; ordinal ratings; sentence judgement; sentence judgment; syntactic judgement ; syntactic judgment,KB+JISC Collections Elsevier (1995-2023)
Adrienn Jánosi; Jeroen Van Craenenbroeck; Guido Vanden Wyngaerd,2014,Lingua,Long split focalization in Hungarian and the typology of A′-dependencies,https://doi.org/10.1016/j.lingua.2014.07.009,acceptability judgement; acceptability judgment; acceptability rating; grammaticality judgement; grammaticality judgment; grammaticality rating; sentence judgement; sentence judgment; syntactic judgement ; syntactic judgment,KB+JISC Collections Elsevier (1995-2023)
Tania Leal Méndez; Jason Rothman; Roumyana Slabakova,2015,Lingua,Discourse-sensitive clitic-doubled dislocations in heritage Spanish,https://doi.org/10.1016/j.lingua.2014.01.002,Likert scale; acceptability judgement; acceptability judgment; acceptability rating; grammaticality judgement; grammaticality judgment; grammaticality rating; sentence judgement; sentence judgment; syntactic judgement ; syntactic judgment,KB+JISC Collections Elsevier (1995-2023)
Jason Overfelt,2015,Lingua,Unbounded successive-cyclic rightward DP-movement,https://doi.org/10.1016/j.lingua.2015.04.002,Likert scale; acceptability judgement; acceptability judgment; acceptability rating; grammaticality judgement; grammaticality judgment; grammaticality rating; intuitive judgement; intuitive judgment; naturalness judgement; naturalness judgment; naturalness rating; sentence judgement; sentence judgment; syntactic judgement ; syntactic judgment,KB+JISC Collections Elsevier (1995-2023)
Elaine J. Francis; Charles Lam; Stephen Matthews,2015,Lingua,"Resumptive pronouns, structural complexity, and the elusive distinction between grammar and performance: Evidence from Cantonese",https://doi.org/10.1016/j.lingua.2015.04.006,acceptability judgement; acceptability judgment; acceptability rating; grammaticality judgement; grammaticality judgment; grammaticality rating; linguistic intuition judgement; linguistic intuition judgment; linguistic intuition rating; sentence judgement; sentence judgment; syntactic judgement ; syntactic judgment,KB+JISC Collections Elsevier (1995-2023)
Jason Overfelt,2015,Lingua,Extraposition of NPIs from NP,https://doi.org/10.1016/j.lingua.2015.06.006,Likert scale; acceptability judgement; acceptability judgment; acceptability rating; grammaticality judgement; grammaticality judgment; grammaticality rating; intuitive judgement; intuitive judgment; linguistic intuition judgement; linguistic intuition judgment; linguistic intuition rating; naturalness judgement; naturalness judgment; naturalness rating; sentence judgement; sentence judgment; syntactic judgement ; syntactic judgment,KB+JISC Collections Elsevier (1995-2023)
Meghan I. Jeffrey; Chung-Hye Han; Panayiotis A. Pappas,2015,Lingua,Experimental evidence of variation and gradience in the syntax and semantics of transitive subject control,https://doi.org/10.1016/j.lingua.2015.06.011,acceptability judgement; acceptability judgment; acceptability rating; grammaticality judgement; grammaticality judgment; grammaticality rating; linguistic intuition judgement; linguistic intuition judgment; linguistic intuition rating; naturalness judgement; naturalness judgment; naturalness rating; sentence judgement; sentence judgment; syntactic judgement ; syntactic judgment,KB+JISC Collections Elsevier (1995-2023)
Aya Meltzer-Asscher; Julie Fadlon; Ariel Holan,2015,Lingua,Direct object resumption in Hebrew: How modality of presentation and relative clause position affect acceptability,https://doi.org/10.1016/j.lingua.2015.08.011,acceptability judgement; acceptability judgment; acceptability rating; grammaticality judgement; grammaticality judgment; grammaticality rating; linguistic intuition judgement; linguistic intuition judgment; linguistic intuition rating; naturalness judgement; naturalness judgment; naturalness rating; sentence judgement; sentence judgment; syntactic judgement ; syntactic judgment,KB+JISC Collections Elsevier (1995-2023)
